frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
100,0.232816,1.789895,1.897300,1.717000,1124.000000,643051237.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.360100,0.000000,0.000000,0.000000,0.005000,0.000000
101,0.234419,1.622605,1.628400,1.532200,1124.000000,643050565.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.366000,0.000000,0.000000,0.000000,0.003600,0.000000
102,0.236234,1.749596,1.749200,1.659200,1124.000000,643054261.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.315900,0.000000,0.000000,0.000000,0.003000,0.000000
103,0.238127,1.913102,1.901600,1.667600,1124.000000,643054285.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.357000,0.000000,0.000000,0.000000,0.004500,0.000000
104,0.239691,1.593899,1.596900,1.502400,1124.000000,643054309.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.317800,0.000000,0.000000,0.000000,0.003500,0.000000
105,0.241508,1.793403,1.782800,1.691100,1124.000000,643054333.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.370500,0.000000,0.000000,0.000000,0.003200,0.000000
106,0.245523,4.010799,4.013500,3.916400,1124.000000,643064761.000000,1148928000.000000,252489728.000000,1292636160.000000,3.550200,0.045000,0.019400,3.436900,0.018100,0.009100,0.000600,0.000500,0.015200,0.003600,0.000000
107,0.247583,2.060601,1.968700,1.873800,1124.000000,643065709.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000400,0.000000,0.000000,0.000000,0.000000,0.443800,0.000000,0.000000,0.000000,0.002800,0.000000
108,0.249166,1.554996,1.591900,1.415900,1124.000000,643063581.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.336600,0.000000,0.000000,0.000000,0.004200,0.000000
109,0.250626,1.528699,1.576100,1.488800,1124.000000,643063605.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.328300,0.000000,0.000000,0.000000,0.004100,0.000000
110,0.252401,1.768304,1.765600,1.674700,1124.000000,643062861.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.374600,0.000000,0.000000,0.000000,0.002900,0.000000
111,0.253916,1.531200,1.536900,1.448300,1124.000000,643063341.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.319100,0.000000,0.000000,0.000000,0.003000,0.000000
112,0.255627,1.703600,1.570300,1.488800,1124.000000,643062517.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.327400,0.000000,0.000000,0.000000,0.002900,0.000000
113,0.257276,1.656803,1.784600,1.570500,1124.000000,643066637.000000,1148928000.000000,252489728.000000,1292636160.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.441500,0.000000,0.000000,0.000000,0.003100,0.000000
