frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
64,0.085339,1.441001,1.441800,1.337700,1076.000000,850186576.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.010100,0.000000,0.030100,0.000000,0.000000,0.000000,0.004500,0.002900,0.002900,0.007000,0.000000
65,0.086618,1.286799,1.287800,1.187300,1076.000000,850186600.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.009400,0.000000,0.019700,0.000000,0.000000,0.000000,0.004500,0.002400,0.002400,0.006700,0.000000
66,0.088190,1.425999,1.367900,1.259000,1076.000000,850186624.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.009300,0.000000,0.023500,0.000000,0.000000,0.000000,0.003900,0.002700,0.002100,0.006600,0.000000
67,0.089774,1.710906,1.755900,1.610200,1076.000000,850201384.000000,1324570160.000000,237035520.000000,1571213312.000000,0.316000,0.041200,0.011200,0.106500,0.017800,0.017200,0.036400,0.013400,0.019000,0.012000,0.007900,0.001800,0.003200,0.005900,0.000000
68,0.090965,1.201998,1.201100,1.097500,1076.000000,850193384.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.011000,0.000000,0.030100,0.000000,0.000000,0.000000,0.003900,0.002400,0.002400,0.006900,0.000000
69,0.092353,1.366298,1.360200,1.257400,1076.000000,850190768.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.009900,0.000000,0.029100,0.000000,0.000000,0.000000,0.003900,0.002700,0.002400,0.006500,0.000000
70,0.093806,1.427204,1.424300,1.318900,1076.000000,850191232.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.010200,0.000000,0.034500,0.000000,0.000000,0.000000,0.004900,0.002400,0.002800,0.006700,0.000000
71,0.094946,1.189300,1.193100,1.090300,1076.000000,850190896.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.010000,0.000000,0.078000,0.000000,0.000000,0.000000,0.006900,0.002000,0.002900,0.007600,0.000000
72,0.096758,1.658000,1.143700,1.044400,1076.000000,850190480.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.009000,0.000000,0.022000,0.000000,0.000000,0.000000,0.004000,0.001800,0.002100,0.006100,0.000000
73,0.098875,2.196294,2.606200,1.995800,1076.000000,850190520.000000,1324570160.000000,237035520.000000,1571213312.000000,0.001100,0.000000,0.000000,0.000000,0.018500,0.000000,0.039500,0.000000,0.000000,0.000000,0.007400,0.004100,0.004500,0.011400,0.000000
74,0.100368,1.529606,1.600400,1.406600,1076.000000,850194632.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.012100,0.000000,0.033000,0.000000,0.000000,0.000000,0.005800,0.002600,0.003400,0.009200,0.000000
75,0.101745,1.386494,1.392700,1.268300,1076.000000,850195072.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.010500,0.000000,0.032000,0.000000,0.000000,0.000000,0.005200,0.002700,0.003400,0.008000,0.000000
76,0.103106,1.369806,1.368400,1.254500,1076.000000,850195520.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.009800,0.000000,0.038300,0.000000,0.000000,0.000000,0.005200,0.003000,0.002900,0.007300,0.000000
77,0.104337,1.255499,1.243200,1.134700,1076.000000,850194696.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.010400,0.000000,0.018200,0.000000,0.000000,0.000000,0.004900,0.003000,0.002700,0.007200,0.000000
78,0.105825,1.478600,1.493500,1.376200,1076.000000,850195144.000000,1324570160.000000,237035520.000000,1571213312.000000,0.315700,0.040900,0.011900,0.102700,0.009500,0.017800,0.031400,0.013500,0.019100,0.012700,0.004300,0.002300,0.002400,0.004600,0.000000
